epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4833.14,0.57497,0.4065,0.96739,0.8997,0.90588,0.91162,0.72153,0.80092,0.58944,1.06158,0.0004754,0.0004754,0.0004754
79,4892.35,0.59178,0.42816,0.98193,0.89599,0.88824,0.9085,0.73282,0.79398,0.58843,1.05841,0.0004556,0.0004556,0.0004556
80,4951.81,0.56404,0.41941,0.97288,0.88408,0.88824,0.91618,0.7301,0.78092,0.58069,1.06161,0.0004358,0.0004358,0.0004358
81,5011.11,0.56953,0.41149,0.97056,0.89741,0.87478,0.88337,0.70372,0.78163,0.67211,1.07256,0.000416,0.000416,0.000416
82,5070.62,0.56787,0.4162,0.97801,0.88635,0.88235,0.88705,0.70699,0.79561,0.63101,1.08701,0.0003962,0.0003962,0.0003962
83,5131.46,0.58487,0.42171,0.98101,0.89539,0.86471,0.89887,0.70518,0.80027,0.62755,1.10126,0.0003764,0.0003764,0.0003764
84,5191.75,0.56013,0.39447,0.966,0.9231,0.84118,0.91252,0.70987,0.81044,0.62811,1.09175,0.0003566,0.0003566,0.0003566
85,5250.9,0.56497,0.41381,0.96819,0.86824,0.88824,0.91412,0.72331,0.80022,0.62605,1.07182,0.0003368,0.0003368,0.0003368
86,5311.33,0.57162,0.41477,0.9697,0.92959,0.8543,0.92218,0.72592,0.78281,0.59435,1.0744,0.000317,0.000317,0.000317
87,5371.85,0.54443,0.39891,0.95749,0.92964,0.85489,0.91659,0.73297,0.77175,0.59394,1.05905,0.0002972,0.0002972,0.0002972
88,5432.53,0.54769,0.40749,0.96308,0.89492,0.88235,0.90223,0.72457,0.77442,0.58454,1.07038,0.0002774,0.0002774,0.0002774
89,5492.98,0.51918,0.37462,0.95447,0.87621,0.91601,0.91145,0.72604,0.78371,0.57906,1.06938,0.0002576,0.0002576,0.0002576
90,5551.88,0.56577,0.41445,0.97044,0.90523,0.89901,0.9098,0.72261,0.78084,0.58861,1.06405,0.0002378,0.0002378,0.0002378
91,5626.41,0.43467,0.32001,0.91104,0.8983,0.88334,0.90656,0.72223,0.80199,0.58268,1.05678,0.000218,0.000218,0.000218
92,5686.6,0.42559,0.28965,0.93842,0.91144,0.87647,0.9032,0.72215,0.7728,0.56463,1.057,0.0001982,0.0001982,0.0001982
93,5746.79,0.40592,0.2621,0.90294,0.9161,0.87647,0.90754,0.73233,0.78449,0.58463,1.06025,0.0001784,0.0001784,0.0001784
94,5807.16,0.41062,0.26437,0.9111,0.92435,0.86255,0.91476,0.7335,0.79391,0.5717,1.06397,0.0001586,0.0001586,0.0001586
95,5867.17,0.41079,0.26727,0.91881,0.91846,0.87059,0.92226,0.74176,0.77952,0.56589,1.06376,0.0001388,0.0001388,0.0001388
96,5925.72,0.39492,0.25398,0.89638,0.91885,0.87647,0.92545,0.74632,0.77673,0.56028,1.05535,0.000119,0.000119,0.000119
97,5983.73,0.39307,0.25311,0.89635,0.91471,0.88322,0.92813,0.74995,0.77263,0.55434,1.06018,9.92e-05,9.92e-05,9.92e-05
98,6031.76,0.38633,0.24057,0.89283,0.92056,0.88619,0.92968,0.75692,0.77219,0.55522,1.06011,7.94e-05,7.94e-05,7.94e-05
99,6090.67,0.39129,0.23686,0.89713,0.92021,0.8819,0.92912,0.7537,0.77263,0.55734,1.06318,5.96e-05,5.96e-05,5.96e-05
100,6149.67,0.38512,0.25508,0.90785,0.92292,0.87647,0.92892,0.75167,0.7728,0.55287,1.05849,3.98e-05,3.98e-05,3.98e-05
